Duration (in seconds),ResponseId,Which Group,Coder Experience,WorkingJava,FindingVulns,PathLines,PathMotivation,InjectionLines,InjectionMotivation,XSSLines,XSSMotivation,DoSLines,DoSMotivation,Familiar.Java,Familiar.Vuln,Difficulty.Marks_1,Difficulty.Marks_2,Difficulty.Marks_3,Difficulty.Marks_4,Difficulty.Correct_1,Difficulty.Correct_2,Difficulty.Correct_3,Difficulty.Correct_4,Process.Understand,Process.Time,Process.Training,Process.remarks
4523,R_22VyuRj7Fet0j5L,Group6,Yes in Java at a Company,Several years of professional experience with Java,Find vulnerabilities outside university,91;93;95;114,"While sanitizing, we only check for paths that contain /../. There is no check for a path that starts with ../, so other resources can still be exploited on the server even after sanitization.",151;153;157;160;237;277;278;301,"If a username is provided but the password is null, an exception will occur in the digest() method that would return the null credentials string. In authenticate() method, validated check would then return true even though password is not entered.",370;371;375;376;495;497,setAttribute() is called on pageContext with the value being retrieved from the request. If a hacker enters malicious code it would then be executed on the user's browser.,49;50;51;87;,"Since we can send any custom header to the server, the do while statement could exhaust the server's resources by parsing all the incoming headers from a single request. This would make the server unavailable.",Agree,Strongly agree,Neither Hard Nor Easy,Hard,Hard,Easy,80%-100%,60-80%,40-60%,80%-100%,Agree,Strongly agree,Agree,
4968,R_3mTv8DHFOw4bTbj,Group6,Not really,As part of University projects,No experience,75,"The normalize function deals with string cleaning and extracting, however, without sanitizing. The path argument in line75 may be added some relative path by the attacker to go somewhere else, which may cause potential risks. ","287,301","password is directly stored, and it may give too many error messages about credentials, including default messages. This may cause information disclosure",386,the loop is not elegantly controlled,73,"If someone sends a huge number of HTTP headers, the program will continue dealing with all those headers and this could never end.",Disagree,Neither-Agree-nor-Disagree,Neither Hard Nor Easy,Neither Hard Nor Easy,Very Hard,Hard,40-60%,40-60%,0-20%,20-40%,Strongly agree,Agree,Agree,
1795,R_w5FUlA5gTxiQ4yl,Group4,Not really,As part of University projects,No experience,204;694;853,"in 204 and 694, a try catch block is used without throwing an exception and in 853 a while loop is used with true condition which has the risk of running forever
",58; 180,"In 58, a digester is being initialised to null and then being checked if it is null in another function. In 180, it is too easy to add a user and this is risky",65;51,"in 65, it says that it throws an exception but when implemented, there is no proper code written to throw and catch an exception, On 51, warnings are supressed which is not good coding practice",155;47;68,"On 155, a while loop with true condition is used and this has the vulnerability of running infinitely. On 47 and 68, exceptions are thrown but there is no code written to catch them",Disagree,Disagree,Neither Hard Nor Easy,Hard,Hard,Neither Hard Nor Easy,20-40%,40-60%,20-40%,0-20%,Disagree,Agree,Neither-Agree-nor-Disagree,No
4999,R_1oz1UddC7uy5QvH,Group6,Yes as a Research Assistant at University,No experience,No experience,107,"This function ignores the recognition of  '../'. That is, if the attacker  input the path like 'dir1/../dir2/secretFile"". The secretFIle will be accessed. That is when the path traversal happens.",107,In this  sanitization  function the path will not handle properly  such as paths with redundant slashes or URLs with query parameters. ,107,In this  sanitization  function the path will not handle properly  such as paths with redundant slashes or URLs with query parameters. ,107,In this  sanitization  function the path will not handle properly  such as paths with redundant slashes or URLs with query parameters. ,Neither-Agree-nor-Disagree,Neither-Agree-nor-Disagree,Hard,Neither Hard Nor Easy,Neither Hard Nor Easy,Neither Hard Nor Easy,40-60%,40-60%,40-60%,40-60%,Neither-Agree-nor-Disagree,Neither-Agree-nor-Disagree,Strongly agree,
4957,R_2X7orZsI2e89vzb,Group3,Not really,No experience,No experience,375;434;497,"375:The previousNestedPath is just got from page context without sanitization.
434: The sanitization is not strong enough to avoid the path traversal.
497: Like line 375, the previousNestedPath is used without sanitization.",59;62,59:get username and use it directly. 62: compare input password with the password. ,429;437,Both lines get display strings and process them.,337;440,lastValid is controlled by others and it influences the loop.,Strongly disagree,Strongly disagree,Hard,Hard,Very Hard,Very Hard,0-20%,0-20%,0-20%,0-20%,Neither-Agree-nor-Disagree,Strongly disagree,Disagree,
5119,R_122PenXDtfMkk6e,Group2,Not really,No experience,No experience,120;,"For line 120, it seems that the directory before the /../ will also be removed.",293;,"it tells that the problem is credential encoding, I think it's too much information",91;,the action can be returned without any sanity checking ,749;,the buffer size can be a very big value,Strongly disagree,Neither-Agree-nor-Disagree,Hard,Hard,Hard,Hard,0-20%,0-20%,0-20%,0-20%,Agree,Disagree,Disagree,
4736,R_2wdaJmgLYXDRMLg,Group4,Not really,Developed several projects using Java,No experience,205;463;509," in the method getContext(), the param uri  is an absolute URI of a resource on the server. That can be used by hackers.

in the method getResource(), it gets a path from user to construct a path for creating a new file.

getResourceAsStream(),same

",151;153,"if credentials == null, they will throw null pointer exception",68;,compare the action with exsiting StringUtils  and send it to execute in processAction(),177,"setting  the eof = false, but only set it to be true when chr== constants.LF",Agree,Agree,Hard,Neither Hard Nor Easy,Neither Hard Nor Easy,Neither Hard Nor Easy,40-60%,40-60%,40-60%,60-80%,Agree,Agree,Agree,
4030,R_3KN2x3WU4w0qirN,Group1,Yes in Java at a Company,Developed project(s) using Java outside University,Find vulnerabilities outside university,361; 366; 368,"1) Gets input from user
2) No input sanitisation at all
3) The path is used to access a resource which will be later accessed by the user",62; 92,"62 -&gt; expose the application to credential stuffing attacks ;92 -&gt; There is no catch block so there can be an unhandled exception. On re-occurrence, this can cause a potential dos attack.",437,"The servletRelativeAction parameter is retrieved from user input (i.e., it's a request parameter) and is used to build a URL. For instance, if the user submits a malicious input like ""&gt;&lt;script&gt;alert('XSS')&lt;/script&gt;, it can cause a XSS vulnerability. ",235,"The buf is not reinitialised or freed, so seems that if there are a lot of headers, the same buffered object might be used which can potentially use all the memory. ",Agree,Neither-Agree-nor-Disagree,Easy,Easy,Easy,Hard,60-80%,60-80%,40-60%,20-40%,Agree,Agree,Agree,
5013,R_1LTGES4ZmR15DIa,Group4,Not really,As part of University projects,No experience,348;466;468,It used the constructed path to request file resources.,144;151;153,It uses the input of the username as the key to construct a query or add a new entry in 'principle'.,69;89;,It uses the requested data to render the browser.,55;73;109;152,User-controlled values influence loop conditions.,Neither-Agree-nor-Disagree,Agree,Neither Hard Nor Easy,Easy,Easy,Hard,40-60%,60-80%,60-80%,20-40%,Agree,Agree,Agree,
5813,R_33vZvfyF4LIQNGV,Group2,Not really,As part of University projects,No experience,110;120,"110: User might not input string including ""\\"" but ""\""
120: // things in "" /../""  might be skipped",195;250,not check input for validity,74,if requestUri might be injected,661,not close this recycle connection,Disagree,Neither-Agree-nor-Disagree,Neither Hard Nor Easy,Neither Hard Nor Easy,Neither Hard Nor Easy,Neither Hard Nor Easy,40-60%,40-60%,40-60%,40-60%,Agree,Agree,Neither-Agree-nor-Disagree,
5703,R_12A3e9pgs4AgCwf,Group2,Not really,As part of University projects,No experience,79;87;,Might have the chance to return the exceptions if the normalized path is null.,151;153;287;,Should check the credentials that they should not be null.,74;,Could render the hackers' code on the users' browsers.,425;463;,"If thats a IO exception, there might not have the nRead. Should add timeout for line 463 or the ""while"" might run for a long time. ",Disagree,Agree,Hard,Easy,Easy,Hard,60-80%,40-60%,60-80%,40-60%,Strongly agree,Strongly agree,Agree,No.
5838,R_2rHFaoDNTphevdr,Group2,Not really,As part of University projects,As part of University projects,118;76,"If the method normalize returns null that may affect the rest of the path. Moreover, there is no check to see if the path begins with / so any query could be executed.",159;163;,"If isDebugEnabled is true, then the authenticate method will tell an attacker if the credentials for a specific username is correct or not, which would help the attacker find the right credentials.",66;89;,There is insufficient validation when getting an action since an attacker can insert malicious scripts into the code. There is also a reflected XXS variant since it echoes back a HttpServletResponse to the browser.,749;661;,The server can be killed if the buffer's memory is filled completely. If the method parseHeader() throws an exception then the headerData is never recycled and the server can keep parsing the Header and eventually run out of space in the buffer.  ,Neither-Agree-nor-Disagree,Disagree,Very Hard,Neither Hard Nor Easy,Neither Hard Nor Easy,Hard,0-20%,20-40%,20-40%,20-40%,Agree,Neither-Agree-nor-Disagree,Strongly disagree,
5498,R_3MQJSbC7Tlp15B9,Group6,Yes in Java at a Company,Developed project(s) using Java outside University,As part of University projects,107;110;114,"107: The aspects the function considered are inadequate. Despite the formatting, it is still possible to access higher-level directories in this way, cascading upwards.
110 and 114 are same because they still contains path information.",111;113;195;196;237,"The list contains all the users information will be returned when new user is added, which is not reasonable. User's password information can be easily compromised.","445,447","Information submitted by users is not seriously reviewed and processed. Thus, some content that can be identified as code and is malicious may pose a risk.",51;54;55,"Through the cascade of calls, exceptions may be thrown, causing the service to terminate.",Agree,Neither-Agree-nor-Disagree,Easy,Easy,Hard,Neither Hard Nor Easy,40-60%,60-80%,20-40%,20-40%,Agree,Agree,Neither-Agree-nor-Disagree,
5515,R_5yUf0PoPOwoqsGR,Group2,Yes as a Research Assistant at University,Developed several projects using Java,No experience,113;120,"113: Denial of Service, The user has control over the  while loop, it may run forever",293,Information Disclosure,87,"XSS: Gets an input from an HTTP entity such as query string, header or form, or request object",262; 283; 306; 337,Denial of Service: User-controlled values influence loop conditions;,Neither-Agree-nor-Disagree,Disagree,Neither Hard Nor Easy,Hard,Easy,Very Hard,20-40%,40-60%,40-60%,0-20%,Agree,Agree,Disagree,
6217,R_yWRsR2tIRhTBTSF,Group2,Not really,As part of University projects,As part of University projects,75:107,"The code is vulnerable for sql injections, as it accepts ever string. Harmful strings could be inserted and executed as code.",177;271,"The code does not use secure methods for encrypting and hashing passwords, which makes it vulnerable to brute force attacks. Additionally, the code does not check if a user has permission to access certain resources, leaving the system open to securi",67;86,Potential vulnerabilities in this code include potential misuse of the RequestDataValueProcessor and the possibility of a malicious user manipulating the servletRelativeAction parameter.,795,Path traversal: The code does not filter inputs,Disagree,Neither-Agree-nor-Disagree,Neither Hard Nor Easy,Neither Hard Nor Easy,Hard,Very Hard,0-20%,0-20%,0-20%,0-20%,Agree,Agree,Disagree,
6532,R_10xCrQJf9f4abHf,Group6,Not really,As part of University projects,No experience,120,"This step will skip multiple ""/../"" between legitimate directories. e.g. ""/legitimate/../../../../somewhere/else"". This allows behaviour to escape the constrained directory.",190,"Line 190 not verify the empty role case. e.g. roles = "",,,,,,user1,user2"";",468,Does not check the request acquire from line 466,0,Did not find any vulnerabilities.,Disagree,Strongly disagree,Easy,Very Hard,Very Hard,Very Hard,60-80%,0-20%,0-20%,0-20%,Neither-Agree-nor-Disagree,Neither-Agree-nor-Disagree,Neither-Agree-nor-Disagree,
5595,R_2ScRpvy5ctbp3cZ,Group1,Yes but in another programming language at a Company,No experience,No experience,432;466;468;515,"432 - the invalidated uri is being used to process a request
466,468 - path is used to write files and only the starting and ending of the path is checked to ensure it
515 - path is being used to look up data
",93,93 - this line uses the size of credentials provided by the user to update which can be controlled by the user,348;443,348 - stored variant(data is being written); 443 - contains similar request response as shown in the slides,109;187;228,109 - the variable pos in the while loop is obtained from the header which can be modified by the user and exploited; 187 - again an array is created using the pos variable; 228 - the same variable in 187 is used to modify another array here,Strongly disagree,Disagree,Hard,Hard,Hard,Hard,20-40%,20-40%,20-40%,20-40%,Strongly agree,Strongly agree,Disagree,
5532,R_3oMWMMofLc5zJW8,Group2,Yes but in another programming language at a Company,Developed project(s) using Java outside University,No experience,79;86;119,Information Disclosure,210;285,Information Disclosure,73;87,Gets an input from an HTTP entity but does not check validity ,561;398;749,large number of requests,Disagree,Disagree,Hard,Hard,Hard,Hard,0-20%,0-20%,0-20%,0-20%,Agree,Agree,Neither-Agree-nor-Disagree,
6059,R_A1iznoOlyYPXAcN,Group4,Yes in Java at a Company,Developed project(s) using Java outside University,No experience,479;466;468;515;926,"The mentioned line numbers are vulnerable according to me as the functions corresponding to these involve taking a path string as an input, which indicates a path traversal type of vulnerability for attackers leading to information disclosure. ",162;163,These lines could lead to information disclosure in the case when the user is not authorized and debugging is enabled.The attacker could get access to unauthorized information through the debug log messages,74;76;91,"The above mentioned lines are vulnerable according to me since with the help of these lines, the attacker can develop code for the target system and execute it as well. This could enable the attacker to exploit the cross site scripting vulnerability ",253;55;56;121,The above mentioned lines are vulnerable since the attacker could exploit the opportunity of Denial of service attack by providing headers which are massive in size which could exhaust the memory of the system causing Denial of service,Agree,Neither-Agree-nor-Disagree,Hard,Hard,Hard,Hard,80%-100%,60-80%,60-80%,60-80%,Agree,Neither-Agree-nor-Disagree,Neither-Agree-nor-Disagree,
5900,R_TjiKgBHjAIZMtUJ,Group6,Not really,As part of University projects,No experience,76;115;117,"Vulnerability is in the definition of the function normalize(). It checks if ""/../"" is not present in the path and if it is present at the start of the path. It does not check if it is present after the first index of the path, which can be the case.",151;153,The password is not validated before checking for equality. A code could be written in the password which could be executed by the system.,441;445,URI is asked as input which could contain an SQL query as a vulnerability. This is possible because only HTML escape sequence is checked to eliminate queries in the code.,151,The header value is read over multiple lines. Attacker can load the header with infinite data and the while loop will never end which can deteriorate the service.,Disagree,Agree,Easy,Very Hard,Very Hard,Hard,60-80%,20-40%,20-40%,40-60%,Agree,Agree,Neither-Agree-nor-Disagree,
6776,R_1HczsgzZIbddmiw,Group5,Not really,No experience,No experience,479;854;927;928;930,"In line 479: If `context == /.` and `path == ./dic`. 
In line 854: The `normalized` variable could be `../dic`.
In line 927: Should normalize the path
In line 928: If the `hostName` end with `/..`
In line 930: If the `hostName` end with `/../`
",87,In line 87: If `credentials == null`,87,In line 87: The `getRequest()` were not validated.,422;749,After line 422: There should be a `finnally`  In line 749: There is no limitation for the `buf` size,Disagree,Agree,Neither Hard Nor Easy,Hard,Neither Hard Nor Easy,Hard,40-60%,20-40%,40-60%,20-40%,Strongly agree,Strongly agree,Neither-Agree-nor-Disagree,
6779,R_3CDDaEJY5t6lVOt,Group4,Yes as a Research Assistant at University,No experience,No experience,239;397;,it uses getPath() method to get path from use then may be attacked by malicious path by the hacker.,144;151;235;250;,use get(username) and getPassword from user,87;,use getRequest() and no check,76;111;156;175;211;,"the code :if (pos &gt;= lastValid), it may be attacked by endless information",Strongly disagree,Neither-Agree-nor-Disagree,Hard,Easy,Easy,Very Hard,40-60%,80%-100%,80%-100%,0-20%,Agree,Agree,Disagree,
6701,R_3DdKtrw72Czi6dl,Group1,Yes but in another programming language at a Company,No experience,Find vulnerabilities outside university,483;,"483. getJNDIUri(hostName, fullPath) does not validate the hostname and fullpath arguments, these strings can these can contain ""/../"" path traversal attempts",87;,"87. credentials variable can be null, and will lead to null exception when executing credentials.getBytes()",447;,447. The queryString is appended to the request action without any checks this can lead to reflected XSS,190,190. If there is no constant.LF character in the header data then the while will never end. Infinite loop denial of service,Strongly disagree,Strongly agree,Hard,Neither Hard Nor Easy,Very Hard,Hard,20-40%,40-60%,60-80%,80%-100%,Strongly agree,Neither-Agree-nor-Disagree,Disagree,
7098,R_3g72Bh1Q0ab0NX3,Group3,Yes but in another programming language at a Company,Developed several projects using Java,Find vulnerabilities outside university,76;107,"The code of method 'normalize' might be vulnerable, because it is a potential source of path traversal attacks if not properly implemented. The attackers can figure out other ways to bypass this method not just use ""/../""",59;66,The line 59 is potencial vulnerable bacause username can be a SQL injection which depends the implementation fo principals; The line 66 log function might be an Information Disclosure if the log configuration is wrong in some places.,360;364;365,"In line 360, the code gets an input from an HTTP entity request parameters and does not check the input for validity – Echoes it back to the browser (line 364,365)",747,the buffer size is decided by user,Agree,Agree,Easy,Easy,Neither Hard Nor Easy,Hard,60-80%,60-80%,40-60%,0-20%,Strongly agree,Strongly agree,Agree,
2908,R_2ARP5Th2dbgjHdO,Group2,Not really,No experience,No experience,82;111;121,"82; if the question mark is added after the index it might mix the substring
111; 121; if there is some error occurs there is no error control
",68;75,there is no control if the action dor action and url,88;,there is no security header,-,---------------------------------------------------,Disagree,Agree,Hard,Hard,Hard,Hard,0-20%,40-60%,0-20%,0-20%,Agree,Neither-Agree-nor-Disagree,Neither-Agree-nor-Disagree,
12150,R_PUMvqw8JsnRr2KZ,Group4,Not really,No experience,No experience,348;483;860,"For line 348, ""path"" wasn't normalized and it could include  /../. 
For line 483, ""fullpath"" and ""hostname"" were obtained from context and were used in function getJNDIUri(). They might be harmful. 
For line 860, all the /../will be  deleted.",151,"For line 151, if the credentical is null, the code throws  null pointer exception and the password will be diclosed. ",73;74;87;89,The input was not checked for validity.,73;109;151,"For line 73, 109, 151, the loops are controlled by the user's input.",Disagree,Neither-Agree-nor-Disagree,Neither Hard Nor Easy,Hard,Neither Hard Nor Easy,Hard,0-20%,20-40%,20-40%,0-20%,Agree,Agree,Agree,
7395,R_W7k3JDCc3sNrTpv,Group5,Yes in Java at a Company,Several years of professional experience with Java,Several years of professional experience outside of university,928;930,"Path concatenation should be done by using the path = normalize(path);
",62,"It seemed like validated = (digest(credentials).equalsIgnoreCase(principal.getPassword())) can lead to a user with username ""Bob"" can login as another user with username ""bob""",88,if ((processor != null) && (request instanceof HttpServletRequest)) might lead String action to be returned unmodified,398,byte[] tmp = new byte[newsize] might lead to DoS because it will try to create an array with the size of input to the method,Agree,Agree,Neither Hard Nor Easy,Neither Hard Nor Easy,Neither Hard Nor Easy,Hard,80%-100%,80%-100%,80%-100%,60-80%,Neither-Agree-nor-Disagree,Strongly agree,Agree,
4413,R_2UW6uIi5tBAaZhG,Group2,Yes but in another programming language at a Company,As part of University projects,No experience,110;111;91,It  attempts to validate the input by whitelisting,"208,58,64",geg information and retrieves database information using a new user details,"86,89",Parameeter ijection takes place here and we must prevent it to attack end user databasees,"110,200,356,700",kill server by filling memory and  the user has control over the loop counter,Neither-Agree-nor-Disagree,Disagree,Hard,Neither Hard Nor Easy,Neither Hard Nor Easy,Very Hard,40-60%,40-60%,40-60%,0-20%,Neither-Agree-nor-Disagree,Agree,Neither-Agree-nor-Disagree,
4979,R_2usar1UzVHlXCYq,Group4,Not really,As part of University projects,No experience,206;368;458;505;543;860,"1.receives a /path/to/sensitive/data/... /etc/passwd URI, it will be parsed as /etc/passwd.2 for the function normalize():if index2 is equal to 0, i.e., it tries to go past the root of the application based on this path, it will simply return null.",144;195,"144:we dont know if there is security problem in class GenericPrincipal.195: pwd directly store in GP instead of encrypting them using methods such as hash functions,",86,"Instead of being vulnerable,the processAction method uses RequestDataValueProcessor to process the Action property of the form, which also increases the protection against XSS attacks.",51;73;109,the loop may be killed by user;the sever may be filled all of its memory,Neither-Agree-nor-Disagree,Neither-Agree-nor-Disagree,Neither Hard Nor Easy,Neither Hard Nor Easy,Very Hard,Very Hard,60-80%,60-80%,20-40%,20-40%,Neither-Agree-nor-Disagree,Agree,Neither-Agree-nor-Disagree,
2569,R_1ONWDLYvUhBcCyw,Group1,Not really,As part of University projects,As part of University projects,"926, 928,930",HostName is not being sanitized and the in put is used directly ,"66,86 ",user name is loged in the debag logs on 66 and getDigestEncoding is only pulling data but there is no verification if the data actualy matches ,482,writeHiddenFields are being rewriten because the processor is not null but the actual data is not checked and new request is appended ,"220, 187 ",if the chr is not enough to stor [pos] it will crush the program as the buffer will be to small to handle the data since the chr was incremented on 187 although there are checks they dont do any thing as chr is incremented ,Neither-Agree-nor-Disagree,Agree,Easy,Hard,Hard,Hard,20-40%,40-60%,20-40%,40-60%,Agree,Agree,Neither-Agree-nor-Disagree,
3218,R_1CvDaGXw181376N,Group3,Yes but in another programming language at a Company,As part of University projects,Several years of professional experience outside of university,76,76: the path is always assumed to be valid whereas normalize function might return null,65; 62; 93,"65: Validated is not explicitly initialized as false before the check is performed, 62: if plaintext string ends up being compared, can't ignore case; 93: wild guess that the md refers to MD hashing algorithm which isn't secure",450,"The requestUri doesn't have any validation; thus, technically requestUri can be anything",463,"Even though the request size check is done, it's only after the headers parsing, meaning that request with large number of header swill block the application at the parsing step",Strongly disagree,Agree,Neither Hard Nor Easy,Hard,Very Hard,Very Hard,20-40%,0-20%,0-20%,20-40%,Agree,Strongly agree,Agree,
4065,R_3sjKL1XnVZbHWCY,Group1,Yes but in another programming language at a Company,As part of University projects,As part of University projects,860;549;517;483,"The normalizer function can be outplayed by giving an input string like ""/./.././"", since it will still contain the ../ sequence after it runs (line 860). Because of this, the functions using it will be prone to path traversal attacks.",94,"If the user can supply a password which will cause an exception during the digest method, then the function will return the password string to the given username",468,"If there is no 'action' or 'relativeServletAction' configured, then this runs for the URI supplied by the user - this can be exploited with malicious input",177;196,"If the header is too long, or contains no endline character (can be removed intentionally), then the buffer will continously grow in size, taking up resources and preventing others from normally using the service.",Neither-Agree-nor-Disagree,Neither-Agree-nor-Disagree,Hard,Neither Hard Nor Easy,Neither Hard Nor Easy,Hard,20-40%,40-60%,60-80%,20-40%,Agree,Agree,Neither-Agree-nor-Disagree,
4087,R_1pzWIjUWipQCCsp,Group6,Not really,Developed several projects using Java,No experience,479;483,The path variable in input is used to construct a full path in line 479 that then is used to produce an URL in line 483,66,There's a log.debug that leaks information about the authentication of the user,445;447;468,"The query in input in the first line is then used to condtruct a request in line 447, only checking if it has text in it, and it's then executed in line 468",164;165;166,"given the code is inside a while(true), if the chr check at line 165 is always true then we can increment the value of pos, eventually exausting the size of the buffer in line 164",Agree,Neither-Agree-nor-Disagree,Easy,Easy,Easy,Hard,40-60%,60-80%,60-80%,40-60%,Agree,Agree,Agree,
4935,R_2AYHaVrrkG7DUMi,Group6,Not really,Developed several projects using Java,As part of University projects,200;,"No sanitization of the uri, while it is done in line 368",59,Specific cafted input can be used to inject malicious code when retrieving principal object via username,447,the query string is not sanitized,51,not handling other states of HeaderParseStatus like HeaderParseStatus.NEED_MORE_DATA,Neither-Agree-nor-Disagree,Disagree,Neither Hard Nor Easy,Neither Hard Nor Easy,Hard,Very Hard,60-80%,60-80%,20-40%,20-40%,Agree,Disagree,Disagree,
5528,R_9vPPjtbXjzBJVZf,Group1,Not really,Developed several projects using Java,As part of University projects,468;471,"An attacker could provide an malevolus input stat starts with the path in line 462, so the code will create a file with this path and then execure the toURL method on this file",87; 93;94,"the password (credentials) isn't truelly verified in the method digest because also if the credentials string is null the update and return true is always done, so always return true, and always in the second ""if"" and access",466;468,there is no controll of the request process,83;,"the buffer has the size of the parameter pos, so an attacker can ""kill"" the server by filling all of its memory",Neither-Agree-nor-Disagree,Disagree,Neither Hard Nor Easy,Neither Hard Nor Easy,Neither Hard Nor Easy,Very Hard,60-80%,40-60%,60-80%,0-20%,Agree,Agree,Disagree,
5841,R_1M4KbPNoKbgUaoS,Group5,Not really,Developed several projects using Java,As part of University projects,348;349;926;928;930,"The provided path string in the input parameter is not normalized but instead it's being used directly.
Regarding line 348, I'm not sure if the File class takes into account the path traversal in a string or if by default it ignores it before parsing",62;87;89,"It doesn't check nullity on the provided password string, therefore it could escalate only knowing username",69,"evaluate method could execute arbitrary commands given by action string, probably provided by the user",103;433;747,"Buffer length can be arbitrary large, taking much resources by the system",Neither-Agree-nor-Disagree,Neither-Agree-nor-Disagree,Hard,Neither Hard Nor Easy,Hard,Very Hard,60-80%,80%-100%,60-80%,40-60%,Neither-Agree-nor-Disagree,Agree,Neither-Agree-nor-Disagree,
5894,R_1MYx1qVFDv1l17o,Group5,Yes in Java at a Company,Developed project(s) using Java outside University,Find vulnerabilities outside university,857,"In that line, the index of the first ""/../"" is checked only to be equal to 0, this means that the normalize function returns null only if the ""/../"" is found at the beginning of the path, otherwise it doesn't recognize the exititing of context",93,"the md variable in line 93 (that i can't know what is used for) is updated with the given credentials even if the login fails, so i can assume that the credentials of a given principal can be updated even if the check on line 62 fails. ",88,"In the processAction, the action is always processed, so any action inserted by the user is processed. This is because the processor and the request evaluate line 88 always to true.",393;394;395;397;398;399;400,"The lines 397;398;399;400 should be in the else of the if at line 392. if newsize is bigger than buf.length and if the parsingHeader is false at line 393, the exception is not thrown, and the code goes on without limits on newsize",Agree,Agree,Easy,Neither Hard Nor Easy,Hard,Hard,80%-100%,80%-100%,40-60%,60-80%,Strongly agree,Agree,Neither-Agree-nor-Disagree,
5912,R_Y5rwBS1lTyPHz8J,Group2,Yes but in another programming language at a Company,As part of University projects,As part of University projects,76,"The documentation of the normalizing function specifies that it should return a sting beginning with the character '/', but it is not checked, and that all the paths of the form ""/./"" should be simplified, but they are not.",292;300,The logs when not in debug mode could lead to an information disclosure,69,The action provided by the user is evaluated and processed without checking it,461;462;463,The user can control how much time is spent parsing headers,Strongly agree,Agree,Hard,Easy,Easy,Hard,60-80%,80%-100%,80%-100%,40-60%,Strongly agree,Strongly agree,Agree,
5908,R_2R9umIz9CqFq5vd,Group4,Yes but in another programming language at a Company,As part of University projects,No experience,348;859,"Line 348: in ""getRealPath"" function the ""path"" is not normalized
Line 859: the function ""lastIndexOf"" gets the last index of '/' starting from ""index - 1""; can result in removing from ""/../"" until the last '/' in the string destroying the path.
",195,No sanitization of username string is performed before creating the user,70;91,"""resolveAction"" could return the same input string ""action"" to the browser if no {RequestDataValueProcessor} instance is configured for it",73;109;151,There are no limits set for buffers during headers parsing; potentially sending a packet with a huge amount of headers could cause a DoS if memory is limited.,Disagree,Agree,Hard,Hard,Easy,Neither Hard Nor Easy,20-40%,20-40%,60-80%,60-80%,Agree,Agree,Neither-Agree-nor-Disagree,
6330,R_2EclKCymUWSTFba,Group1,Not really,As part of University projects,As part of University projects,482;483,I think that these lines of code are vulnerable because the code takes as input a path and replies with an URL to that resource. It could be possible for an user to input a specific path that will be processed by the code uncorrectly.,62;87;90;93;94,I think that this is the vulnerable line of code because it starts manipulating an input string (credentials) without any sanitization or check (except for the != null). This could allow an user to insert malicious input that will be read by the code,441;442;443;444;445;447;451,I think that these are the vulnerable lines of code since we manage an input to craft a response without checking it or sanitizing it,51;83;118;164;187;220,I think that these are the vulnerable lines of code since we allcoate memory and/or use loop constructs based on values that are not sanitized and this could lead to big memory consumption or crahes,Disagree,Neither-Agree-nor-Disagree,Very Hard,Neither Hard Nor Easy,Hard,Hard,40-60%,40-60%,20-40%,0-20%,Strongly agree,Agree,Neither-Agree-nor-Disagree,
6240,R_2sYlS14Lj9krI8j,Group3,Not really,As part of University projects,No experience,114;115;95,"The path that I am parsing may be too long to fit into the Integer limit, giving an integer overflow resulting in a normalization skip if the /../ sequence is after this limit.",87;90;62,credentials can be a null string,435;437,a script tag with code can be inserted in the servletRelativeAction when concatenetad with the read path,218,there is so much weird parsing going on that there may be an indexOutOfBounds exception raised when reading the buffer somewhere,Disagree,Neither-Agree-nor-Disagree,Hard,Neither Hard Nor Easy,Hard,Very Hard,0-20%,20-40%,0-20%,0-20%,Neither-Agree-nor-Disagree,Neither-Agree-nor-Disagree,Strongly disagree,
6197,R_3jSXp2GMN7pdqBb,Group4,Yes but in another programming language at a Company,Developed several projects using Java,As part of University projects,859;860,"The method normalize does not properly remove ""/../"" occurences, e.g. a/../../b/c throws an error IdxOutBounds
On line 859 I would use indexOf intead of lastIndexOf and fix accordingly line 860.
This problem affects all methods that call ""normalize"".",148;277;151,"In athenticate, hasMessageDigest() leads to case-ins. password check. In digest, if !hasMessageDigest(), the password is returned unchanged. So, if the value of hasMessageDigest changes between the two calls =&gt; case-insensitive plain password check.",73;76,"Line 73 gets the request URI (can be manually changed from the user), ""sanitizes"" it by calling encodeURL and nothing more. The value passes to processAction can still have malicious content.",177;190,"At line 177, the program loops until it finds exactly a line feed character. What if there is none? This could lead to an exception or infinite loop, e.g. NEED_MORE_DATA =&gt; while(!eol) =&gt; NEED_MORE_DATA ...",Strongly agree,Agree,Neither Hard Nor Easy,Very Hard,Neither Hard Nor Easy,Very Hard,80%-100%,20-40%,60-80%,40-60%,Strongly agree,Strongly agree,Neither-Agree-nor-Disagree,"Java docs could have been usefull (for example trim, lastIndexOf...) just to be sure about the code behaviour."
